Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish

tutorialTipQuest01,Journal Tip,,,,"Forest Friend,\n\nThe Oakraven Forest can be a very mellow place, if you stay within its boundaries. For the adventurous, expand your horizons.\n\nFirst of all, tame the Fox Friend with the contents of your dog food can. It will be your companion through the first survival steps and beyond.\n\nStay Safe, - Forest Hermit",,,,,,,,,,,,,
quest_WhiteRiverCitizen1,Quest,Quest Info,,,Forest Friend 1/1,,,,,,,,,,,,,
quest_WhiteRiverCitizen1_description,Quest,Quest Info,,,"Good Job Forest Friend,\n\nYou have survival traits, and show much potential. We have marked your map with an Oakraven Forest trader outpost. You can can buy and sell goods, and make yourself useful.\n\nWelcome to the Oakraven Forest, - Forest Hermit",,,,,,,,,,,,,

resourceClayLumpBundle,items,Item,,,Stack of Clay (6000),,,,,,,,,,,,,
resourceClayLumpBundleDesc,items,Item,,,"This is a compact stack of clay. Use this item to open and unpack it.",,,,,,,,,,,,,

perkDeepCutsDesc,progression,perk Agi,,,"Specialize in using bladed weapons like knives or machetes (not axes) to bleed your foes dry. Craft special daggers on the Armoury Bench up to Quality 6.",,,,,,,,,,,,,
perkBoomstickDesc,progression,perk Str,,,"Specialize with shotguns and send your enemies to meet their maker. Do more damage, blow limbs off, shoot and reload faster. Craft special shotguns on the Armoury Bench up to Quality 6.",,,,,,,,,,,,,
perkMiner69rDesc,progression,perk Str,,,"Maximize your mining efforts by increasing tool damage to bring down rocks and trees faster. Craft special axes on the Armoury Bench up to Quality 6.",,,,,,,,,,,,,
perkGunslingerDesc,progression,perk Agi,,,"Settle your disputes the old way and be a gunslinger in the apocalypse. Master the use of handguns and SMG. Unlocks pistol crafting. Craft special hand guns on the Armoury Bench up to Quality 6.",,,,,,,,,,,,,
perkJavelinMasterDesc,progression,perk Per,,,"Learn to inflict more damage and throw spears further and with more accuracy. Craft special spears on the Armoury Bench up to Quality 6.",,,,,,,,,,,,,

perkMasterChefRank1LongDesc,progression,perk Str,,,"Cooking is not your thing but you know some basics. Unlocks basic recipes such as bacon and eggs, boiled and grilled meats, baked potatoes, cornbread, teas and coffee. Cook 10% faster. Additional recipes include Egg Sandwich, Honey Bread, and Acorn Bread. And the 'drinks'... Additional Oakraven Cooking Stations, Mixers, Blenders, and a Mincer can also be unlocked and have their own recipes.",,,,,,,,,,,,,
perkMasterChefRank2LongDesc,progression,perk Str,,,"Just like grandma used to make, tasty hearty meals that fill you up for days. Craft steak and potatoes, meat stew, vegetable stew, blueberry pie and several pumpkin dishes. Cook 20% faster. Additional recipes include Egg Quiche, Honey Pumpkin Pie, and Honey Beer. On top of that, Hydroponic Mixed Vegetable Soup, Mixed Fruit Bowl, and Fruit Muffin. Also hearty chicken or rabbit stew.",,,,,,,,,,,,,
perkMasterChefRank3LongDesc,progression,perk Str,,,"Learn how to make nutritious pot luck meals from canned goods. Craft Sham Chowder, Hobo Stew, Chili dogs and Fish Tacos. Wash them down with Yucca Juice Smoothies and Beer. Cook 30% faster. Additional recipes include Hydroponic Salmon Bake, Cottage Bake, Feral Acorn Bread Casserole, and Hermit Helper XP'lixir.",,,,,,,,,,,,,

perkAdvancedEngineeringRank1LongDesc,progression,perk Int,,,"You are now a blacksmith and able to forge iron and other metal objects. Craft forges and craft items with them 20% faster. Craft glue cheaper. You can also craft an Oakraven Forge, Tatarin Forge, and Oakraven Copper Forge, Armoury Bench and Ammo Bench.",,,,,,,,,,,,,
perkAdvancedEngineeringRank2LongDesc,progression,perk Int,,,"Your tinkering is proving useful in the apocalypse. Craft workbenches and cement mixers and craft items with them 20% faster. You can also craft an Oakraven Powder Mixer, Oakraven Cement Mixer, Fish Oven, Power Workbench, Power Cell and Solar Cell. Cell items increase up to level 6 as you increase Advanced Engineering Skill. Cells offer Level 3 at Skill 2.",,,,,,,,,,,,,
perkAdvancedEngineeringRank3LongDesc,progression,perk Int,,,"You are now an electrician. Learn to craft generators, and build advanced base defense systems such as electric fences & blade traps. Craft military fiber. Gain 20% XP from electrical trap kills.\nEfficient craftsman. All forge recipes cost 10% less, crafting Forged Steel and electrical devices costs 15% less.\nCraft the Oakraven Generator 1 & 2. Cells offer Level 4 at Skill 3.",,,,,,,,,,,,,
perkAdvancedEngineeringRank4LongDesc,progression,perk Int,,,"Learn to craft shotgun turrets for short range concentrated base defense, battery banks and nail guns. Gain 35% XP from electrical trap kills.\nAll forge recipes cost 15% less, crafting Forged Steel and electrical devices costs 25% less.\nCraft the Oakraven Battery Bank 1 & 2 as well as the Oakraven Turret Solar Power Array and Oakraven Solar Power Array. Cells offer Level 5 at Skill 4.",,,,,,,,,,,,,
perkAdvancedEngineeringRank5LongDesc,progression,perk Int,,,"Learn to craft SMG auto turrets for the best ranged base defense, and crucibles to forge steel in forges. Gain 50% XP from Electrical Trap Kills.\nAll forge recipes cost 20% less, crafting Forged Steel and electrical devices costs 35% less. Cells offer maximum output with Level 6 at Skill 5.",,,,,,,,,,,,,

